,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
90,40.897,25.891,2023-08-02,43,not fire,0.8697,0.5334
91,39.4007,22.8736,2023-07-16,1944,not fire,0.9193,0.5825
92,41.1988,26.2425,2023-08-21,1942,not fire,0.6254,0.3747
93,39.3426,22.8431,2023-07-17,35,not fire,0.8865,0.7088
94,41.1337,26.0828,2023-08-08,1918,not fire,0.7233,0.3308
95,39.3522,22.7633,2023-07-27,35,fire,0.8138,0.7521
96,41.1739,25.5417,2023-08-21,1106,fire,0.8192,0.5278
97,38.1576,23.4967,2023-07-18,51,fire,0.8327,0.5201
98,41.0934,26.2014,2023-08-22,2007,fire,0.7515,0.4262
99,39.349,22.7901,2023-07-27,35,fire,0.7894,0.5837
100,41.072,26.0531,2023-08-02,1148,not fire,0.8222,0.4042
101,40.952,26.0444,2023-08-12,902,not fire,0.7354,0.3812
102,40.9494,26.0588,2023-08-22,902,fire,0.7476,0.3886
103,39.2275,22.4869,2023-08-12,1147,not fire,0.8136,0.5607
104,40.8825,26.0355,2023-07-30,1943,not fire,0.8037,0.455
105,41.0488,26.1589,2023-08-12,43,not fire,0.5675,0.3849
106,38.0392,23.4002,2023-07-28,2049,not fire,0.5564,0.38
107,38.0156,24.5404,2023-08-12,1207,not fire,0.6104,0.327
108,36.0836,27.8872,2023-07-07,36,not fire,0.8724,0.579
109,40.9438,25.7407,2023-08-02,2007,not fire,0.499,0.2798
110,38.0267,24.5149,2023-07-25,50,fire,0.7104,0.4092
111,39.7634,19.875,2023-07-25,49,fire,0.7876,0.6641
112,38.3267,22.7153,2023-08-12,1147,not fire,0.6819,0.4518
113,38.1619,22.2131,2023-07-13,2057,not fire,0.7784,0.5664
114,40.9771,25.9804,2023-08-21,1926,fire,0.874,0.5629
115,38.0432,23.4379,2023-07-29,849,not fire,0.3524,0.2254
116,37.0961,25.5033,2023-07-25,24,not fire,0.7648,0.591
117,38.3397,23.2493,2023-08-12,2006,not fire,0.4911,0.3069
118,41.0059,25.8495,2023-08-22,2007,fire,0.6601,0.388
119,36.2175,27.978,2023-07-13,1207,not fire,0.9077,0.6175
120,36.0212,27.8474,2023-08-15,1056,not fire,0.6824,0.44
121,40.9856,25.972,2023-08-12,43,not fire,0.896,0.511
122,36.2245,27.9221,2023-07-29,1952,not fire,0.9072,0.6509
123,41.0573,24.6892,2023-08-02,1148,not fire,0.8213,0.5231
124,36.2214,27.9824,2023-07-13,1207,not fire,0.9095,0.6771
125,41.0471,26.0059,2023-08-02,1148,not fire,0.798,0.3818
126,38.1611,23.5179,2023-07-28,1912,not fire,0.7165,0.44
127,36.2081,28.0284,2023-07-13,1919,not fire,0.7556,0.4981
128,41.0553,26.1656,2023-08-22,902,fire,0.7323,0.3747
129,41.0924,26.0803,2023-08-02,1148,not fire,0.5863,0.3394
130,41.1522,26.1239,2023-08-20,1050,not fire,0.6714,0.4242
131,37.7602,23.9623,2023-08-06,2009,not fire,0.6596,0.4949
132,36.111,27.9306,2023-08-13,857,not fire,0.8735,0.5475
133,36.2379,27.9669,2023-08-02,1919,not fire,0.8914,0.632
134,41.0091,26.0269,2023-08-21,1926,fire,0.8101,0.4511
135,38.1595,23.4933,2023-07-17,2009,fire,0.862,0.5216
136,40.9154,25.9019,2023-08-11,1926,not fire,0.8559,0.4831
137,40.9735,25.7358,2023-08-22,2007,fire,0.767,0.3391
138,40.9066,25.983,2023-08-20,1202,fire,0.7687,0.42
139,36.1877,28.0142,2023-08-02,104,not fire,0.8641,0.4932
140,36.2214,27.9824,2023-07-03,1207,not fire,0.9257,0.6658
141,38.1669,23.48,2023-07-17,2009,fire,0.7742,0.5166
142,38.1322,23.6238,2023-08-14,847,not fire,0.4826,0.275
143,40.9899,26.1422,2023-08-23,1230,fire,0.7047,0.3411
144,41.1547,25.2836,2023-08-31,1926,not fire,0.6529,0.3626
145,36.2225,27.9161,2023-07-10,1139,not fire,0.926,0.5979
146,38.1053,23.493,2023-07-18,1154,fire,0.3543,0.2464
147,39.3416,22.8225,2023-07-17,35,not fire,0.8168,0.6305
148,41.1209,26.0695,2023-08-04,1950,not fire,0.8303,0.4493
149,36.2086,27.9328,2023-07-21,1935,fire,0.8937,0.6776
150,38.3453,22.7377,2023-08-22,903,fire,0.6484,0.4033
151,41.0487,26.0186,2023-08-02,1148,not fire,0.8387,0.4012
152,38.116,23.6504,2023-08-13,944,not fire,0.3375,0.1695
153,40.9793,25.8416,2023-08-12,1148,not fire,0.6922,0.3822
154,40.9148,25.8442,2023-08-22,902,fire,0.7501,0.4595
155,38.3286,22.7269,2023-08-22,1147,fire,0.8082,0.6067
156,36.1246,27.93,2023-08-11,2016,not fire,0.8899,0.6331
157,38.1289,23.4574,2023-08-07,1154,not fire,0.6805,0.4018
158,38.1719,23.5248,2023-07-08,51,not fire,0.4895,0.3505
159,36.211,28.0225,2023-07-23,1919,fire,0.8437,0.6132
160,40.8977,25.9608,2023-07-30,1943,not fire,0.8662,0.5219
161,36.2225,27.9161,2023-07-20,1139,fire,0.9109,0.6865
162,38.3396,22.7367,2023-08-22,1147,fire,0.6753,0.4532
163,38.0568,23.4369,2023-07-18,2049,fire,0.6863,0.4261
164,36.1857,27.9759,2023-07-13,817,not fire,0.9005,0.618
165,40.9552,25.7537,2023-08-02,2007,not fire,0.7082,0.3505
166,40.8624,26.0711,2023-07-31,919,not fire,0.7151,0.4337
