latitude,longitude,class,date,max_temperature,min_temperature,mean_temperatur,max_humidity,min_humidity,mean_humidity,total_precipitation,max_soil_temperature,min_soil_temperature,mean_soil_temperature,min_soil_moisture,mean_soil_moisture,max_wind_speed,total_rain
39.8053,-8.6446,not fire,2023-08-03 14:08:00+00:00,26.064001083374023,15.613999366760254,20.17650032043457,98.4447250366211,59.126102447509766,82.93707275390625,1.8000000715255737,26.714000701904297,18.86400032043457,22.547332763671875,0.10199999809265137,0.1132916584610939,23.86341094970703,1.8000000715255737
40.9737,-7.9931,not fire,2023-02-13 13:54:00+00:00,6.576499938964844,-1.3235000371932983,1.8556666374206543,85.14360809326172,57.49159240722656,72.13556671142578,0.0,6.0264997482299805,-0.2734999656677246,2.4327499866485596,0.32600000500679016,0.3303333818912506,15.077081680297852,0.0
37.4558,-8.6925,fire,2023-08-07 14:25:00+00:00,34.02300262451172,22.87299919128418,27.779245376586914,51.871463775634766,18.07695198059082,33.50709533691406,0.0,40.52300262451172,22.022998809814453,30.77508544921875,0.07400000095367432,0.07520832866430283,17.67302894592285,0.0
39.7427,-7.7687,fire,2023-08-05 10:35:00+00:00,33.468502044677734,17.9685001373291,25.524749755859375,57.47809982299805,13.125694274902344,31.453638076782227,0.0,38.968502044677734,21.01850128173828,29.072668075561523,0.09200000017881393,0.09200000017881393,25.20256996154785,0.0
39.7274,-7.7657,fire,2023-08-05 13:03:00+00:00,33.468502044677734,17.9685001373291,26.0955810546875,53.350154876708984,13.125694274902344,27.505592346191406,0.0,38.968502044677734,21.01850128173828,29.36016845703125,0.09200000017881393,0.09200000017881393,25.20256996154785,0.0
39.7352,-7.7769,not fire,2023-08-15 10:35:00+00:00,34.07699966430664,16.12700080871582,24.316587448120117,81.0665512084961,19.505311965942383,46.756038665771484,0.0,40.027000427246094,19.977001190185547,29.089502334594727,0.09399999678134918,0.09483334422111511,19.602651596069336,0.0
37.3047,-8.5084,not fire,2023-08-18 14:20:00+00:00,28.585500717163086,14.685500144958496,20.525081634521484,97.76513671875,29.93631362915039,71.93183898925781,0.0,34.235496520996094,17.885499954223633,24.86466407775879,0.09600000083446503,0.0976666733622551,20.883102416992188,0.0
37.4907,-8.7048,fire,2023-08-07 23:00:00+00:00,40.24899673461914,23.548999786376953,30.184415817260742,42.14146041870117,11.22216510772705,30.17402458190918,0.0,41.698997497558594,24.249000549316406,32.234413146972656,0.08399999886751175,0.08541667461395264,29.6382999420166,0.0
39.7908,-7.7343,fire,2023-08-04 22:36:00+00:00,30.09600067138672,16.84600067138672,22.875165939331055,60.29985809326172,21.32347869873047,41.11994934082031,0.0,37.24599838256836,19.746000289916992,27.618913650512695,0.08799999952316284,0.08800002932548523,28.660158157348633,0.0
39.7343,-8.5355,fire,2023-08-23 22:26:00+00:00,41.362998962402344,22.363000869750977,29.479665756225586,65.9620590209961,16.929412841796875,47.38383483886719,0.0,41.3129997253418,24.562999725341797,31.694252014160156,0.09600000083446503,0.09608331322669983,23.03156089782715,0.0
40.5304,-7.8067,not fire,2023-08-03 22:26:00+00:00,25.980998992919922,12.581000328063965,19.33099937438965,100.0,39.635066986083984,78.04539489746094,1.600000023841858,28.58099937438965,16.680999755859375,22.555999755859375,0.09000000357627869,0.09658331423997879,22.553936004638672,1.600000023841858
37.4422,-8.7095,not fire,2023-08-26 13:44:00+00:00,34.407501220703125,21.25749969482422,26.030412673950195,62.298213958740234,18.608543395996094,46.50364685058594,0.0,38.557498931884766,22.657501220703125,29.503332138061523,0.07400000095367432,0.07400000095367432,22.476226806640625,0.0
41.6684,-8.1165,not fire,2023-02-24 22:11:00+00:00,6.151000022888184,-3.1489999294281006,0.7801668047904968,90.46036529541016,48.668182373046875,76.15412902832031,0.20000000298023224,8.901000022888184,0.20100000500679016,3.6593329906463623,0.2809999883174896,0.2827499508857727,13.896186828613281,0.10000000149011612
39.7508,-7.7437,not fire,2023-08-26 02:40:00+00:00,39.54499816894531,21.344999313354492,30.267915725708008,43.55744934082031,13.004486083984375,27.469449996948242,0.0,44.39500045776367,25.44499969482422,34.23250198364258,0.09000000357627869,0.09000001102685928,18.681882858276367,0.0
39.7243,-8.5336,fire,2023-08-23 22:26:00+00:00,41.375999450683594,22.375999450683594,29.492666244506836,65.96479034423828,16.932323455810547,47.3869514465332,0.0,41.32600021362305,24.575998306274414,31.707252502441406,0.09600000083446503,0.09608331322669983,23.03156089782715,0.0
39.7511,-7.8332,not fire,2023-08-25 13:03:00+00:00,37.856998443603516,22.85700035095215,30.179916381835938,54.33803939819336,13.95568561553955,31.330307006835938,0.0,42.45699691772461,26.156999588012695,33.611167907714844,0.09200000017881393,0.09333334118127823,17.414474487304688,0.0
37.482,-8.7396,not fire,2023-08-17 23:00:00+00:00,22.649499893188477,15.54949951171875,18.862001419067383,98.40972137451172,58.99128341674805,80.55780792236328,0.0,33.3494987487793,16.54949951171875,23.653669357299805,0.03500000014901161,0.03541667386889458,24.216522216796875,0.0
39.7594,-7.82,not fire,2023-08-24 22:36:00+00:00,39.781497955322266,22.681499481201172,31.316917419433594,54.29344177246094,14.88032341003418,32.94185256958008,0.0,43.58150100708008,25.98149871826172,34.30441665649414,0.09399999678134918,0.09666666388511658,19.665359497070312,0.0
37.4459,-8.7208,not fire,2023-08-26 22:19:00+00:00,34.86249923706055,19.0625,25.091665267944336,72.18596649169922,18.716798782348633,53.17451858520508,0.0,39.01249694824219,22.36250114440918,29.610410690307617,0.07400000095367432,0.07400000095367432,22.476226806640625,0.0
