latitude,longitude,acq_date,acq_time,class,NDVI,EVI
40.5101,-7.8442,2023-08-23,1409,fire,0.6219,0.3016
39.737,-7.7969,2023-08-25,1035,not fire,-0.3,-0.3
37.4338,-8.6713,2023-08-16,2219,not fire,-0.3,-0.3
41.3066,-7.3077,2023-08-24,2114,not fire,0.5071,0.2744
41.697,-7.854,2023-02-05,2234,fire,0.5389,0.2229
37.4024,-8.7,2023-08-16,2219,not fire,-0.3,-0.3
41.2042,-7.9098,2023-08-02,222,not fire,0.7919,0.3947
39.726,-8.6375,2023-08-26,2219,not fire,-0.3,-0.3
41.69,-8.0291,2023-02-24,1106,not fire,0.3467,0.1636
37.4395,-8.7243,2023-08-16,1344,not fire,-0.3,-0.3
39.747,-7.7425,2023-08-25,2139,not fire,-0.3,-0.3
41.8782,-7.1245,2023-02-27,1359,not fire,0.4106,0.1233
40.9917,-8.0874,2023-02-21,1041,not fire,0.6305,0.3105
39.7581,-8.6741,2023-08-27,1426,not fire,-0.3,-0.3
37.3953,-8.7282,2023-08-18,226,not fire,-0.3,-0.3
39.7769,-7.7545,2023-08-24,2236,not fire,-0.3,-0.3
40.9948,-8.0812,2023-02-02,1122,not fire,0.5889,0.3278
37.4353,-8.6599,2023-08-26,2219,not fire,-0.3,-0.3
39.7811,-7.8031,2023-08-25,1035,not fire,-0.3,-0.3
39.7581,-8.6741,2023-08-17,1426,not fire,-0.3,-0.3
39.7369,-7.7626,2023-08-25,336,not fire,-0.3,-0.3
40.9737,-7.9931,2023-02-03,1354,fire,0.5672,0.2734
41.6508,-6.5794,2023-08-20,1316,not fire,0.5691,0.3094
39.7236,-7.7788,2023-08-15,1035,not fire,-0.3,-0.3
41.7945,-7.6171,2023-02-08,1303,not fire,0.5393,0.2294
39.7343,-8.5355,2023-08-13,2226,not fire,-0.3,-0.3
40.523,-7.8183,2023-08-03,1409,not fire,0.6167,0.3209
37.462,-8.7178,2023-08-17,1425,not fire,-0.3,-0.3
37.4411,-8.6781,2023-08-27,322,not fire,-0.3,-0.3
37.3985,-8.6835,2023-08-27,1425,not fire,-0.3,-0.3
37.4363,-8.656,2023-08-27,322,not fire,-0.3,-0.3
37.4296,-8.7211,2023-08-16,1344,not fire,-0.3,-0.3
40.1227,-7.416,2023-08-05,1106,not fire,0.5141,0.2994
41.8655,-7.7961,2023-02-15,1341,not fire,0.5896,0.248
37.4189,-8.7154,2023-08-16,2219,not fire,-0.3,-0.3
39.7168,-8.6355,2023-08-16,2219,not fire,-0.3,-0.3
40.5376,-7.7794,2023-08-03,2226,not fire,0.6094,0.3767
37.4603,-8.7368,2023-08-17,1425,not fire,-0.3,-0.3
41.6879,-7.9059,2023-02-10,1356,fire,0.6611,0.3554
38.8534,-9.2209,2023-08-16,306,fire,-0.3,-0.3
39.7595,-7.8274,2023-08-15,1035,not fire,-0.3,-0.3
39.7303,-7.8167,2023-08-15,158,not fire,-0.3,-0.3
40.9996,-8.0012,2023-02-21,1407,not fire,0.5441,0.2899
37.482,-8.7396,2023-08-27,2300,not fire,-0.3,-0.3
41.8782,-7.1245,2023-02-17,1359,fire,0.3813,0.114
39.787,-7.7797,2023-08-14,2236,not fire,-0.3,-0.3
39.7563,-8.6951,2023-08-17,1426,not fire,-0.3,-0.3
39.7276,-8.5128,2023-08-13,2226,not fire,-0.3,-0.3
40.5353,-7.8282,2023-08-13,1409,not fire,0.7345,0.3801
41.6576,-7.784,2023-02-14,2153,not fire,0.5621,0.1888
41.1825,-7.9013,2023-08-31,2243,not fire,0.6891,0.3093
37.3816,-8.7087,2023-08-18,226,not fire,-0.3,-0.3
37.3913,-8.7708,2023-08-27,2259,not fire,-0.3,-0.3
37.4011,-8.7381,2023-08-27,2122,not fire,-0.3,-0.3
41.2548,-8.1402,2023-08-31,1358,not fire,0.6783,0.3806
41.6799,-8.3402,2023-02-17,1131,fire,0.6266,0.3005
37.3968,-8.725,2023-08-17,1019,not fire,-0.3,-0.3
37.4323,-8.7064,2023-08-16,1344,not fire,-0.3,-0.3
40.1208,-7.4039,2023-08-15,1106,not fire,0.4975,0.301
41.6742,-8.3403,2023-02-07,1359,not fire,0.6852,0.3268
40.5213,-7.8323,2023-08-03,1409,not fire,0.6647,0.4464
37.4636,-8.7319,2023-08-17,1425,not fire,-0.3,-0.3
41.852,-8.2124,2023-08-03,1409,not fire,0.5092,0.2942
37.3848,-8.7306,2023-08-27,2122,not fire,-0.3,-0.3
39.775,-7.7783,2023-08-24,2236,not fire,-0.3,-0.3
39.787,-7.7797,2023-08-24,2236,not fire,-0.3,-0.3
37.4125,-8.7235,2023-08-17,1019,not fire,-0.3,-0.3
39.7476,-7.8247,2023-08-15,1303,not fire,-0.3,-0.3
39.7243,-8.5432,2023-08-13,2226,not fire,-0.3,-0.3
37.4394,-8.7184,2023-08-26,1116,not fire,-0.3,-0.3
41.1825,-7.9013,2023-08-21,2243,fire,0.6891,0.3093
40.523,-7.8183,2023-08-23,1409,fire,0.655,0.3344
40.5304,-7.8067,2023-08-03,2226,not fire,0.6268,0.3599
37.4233,-8.6811,2023-08-16,2219,not fire,-0.3,-0.3
39.7874,-7.7411,2023-08-15,1035,not fire,-0.3,-0.3
40.5197,-7.8464,2023-08-03,1409,not fire,0.5431,0.3638
39.6814,-8.65,2023-08-15,1441,not fire,-0.3,-0.3
37.4158,-8.6677,2023-08-26,2219,not fire,-0.3,-0.3
41.2548,-8.1402,2023-08-11,1358,fire,0.6976,0.5016
40.8502,-7.31,2023-08-25,1354,fire,0.5962,0.3209
39.7311,-7.7743,2023-08-25,1303,not fire,-0.3,-0.3
37.4417,-8.681,2023-08-27,1019,not fire,-0.3,-0.3
39.7243,-8.5336,2023-08-23,2226,fire,-0.3,-0.3
40.5197,-7.8464,2023-08-23,1409,fire,0.5419,0.3527
39.7622,-8.6948,2023-08-14,1359,not fire,-0.3,-0.3
37.3969,-8.6837,2023-08-17,2122,not fire,-0.3,-0.3
39.7304,-8.6386,2023-08-17,322,not fire,-0.3,-0.3
37.3835,-8.7207,2023-08-17,1425,not fire,-0.3,-0.3
40.5353,-7.8282,2023-08-03,1409,not fire,0.6489,0.3743
37.4002,-8.7332,2023-08-27,2259,not fire,-0.3,-0.3
37.1995,-8.8708,2023-08-27,1425,not fire,-0.3,-0.3
40.9709,-8.0574,2023-02-25,1129,not fire,0.6531,0.3479
41.121,-8.3313,2023-02-06,2155,not fire,0.4164,0.2204
37.4346,-8.6613,2023-08-27,322,not fire,-0.3,-0.3
39.7415,-7.7455,2023-08-26,240,not fire,-0.3,-0.3
41.1636,-7.9193,2023-08-01,1423,not fire,0.7473,0.3044
40.5005,-7.8418,2023-08-23,1409,fire,0.7306,0.4349
40.532,-7.79,2023-08-23,2226,fire,0.569,0.3729
39.7183,-8.6231,2023-08-26,2219,not fire,-0.3,-0.3
41.6742,-8.3403,2023-02-27,1359,not fire,0.6155,0.2778
39.7477,-7.8152,2023-08-25,158,not fire,-0.3,-0.3
39.8068,-8.6321,2023-08-13,1408,not fire,-0.3,-0.3
39.7578,-7.8075,2023-08-15,1035,not fire,-0.3,-0.3
40.9663,-7.9788,2023-02-13,1354,not fire,0.6014,0.3369
40.8485,-7.3217,2023-08-05,1354,not fire,0.5573,0.2741
39.7245,-8.6498,2023-08-16,2219,not fire,-0.3,-0.3
39.7883,-7.7401,2023-08-15,1303,not fire,-0.3,-0.3
40.8816,-7.9118,2023-02-18,1333,not fire,0.4436,0.2057
40.2089,-7.8147,2023-02-26,1316,not fire,0.5799,0.3273
41.9781,-8.4329,2023-02-26,2155,not fire,0.6114,0.2991
41.7418,-6.9176,2023-02-27,1113,not fire,0.5424,0.2507
40.8401,-7.3141,2023-08-15,1354,not fire,0.4522,0.1961
39.7426,-7.7634,2023-08-25,2139,not fire,-0.3,-0.3
37.4223,-8.703,2023-08-26,1344,not fire,-0.3,-0.3
40.9917,-8.0874,2023-02-11,1041,fire,0.5803,0.3264
40.1137,-7.4179,2023-08-05,1106,not fire,0.423,0.236
40.9012,-7.7994,2023-08-17,1049,not fire,0.5494,0.3293
37.3151,-8.5116,2023-08-18,1420,not fire,-0.3,-0.3
37.3798,-8.6887,2023-08-18,226,not fire,-0.3,-0.3
41.1871,-7.9548,2023-02-27,1113,not fire,0.7475,0.2252
41.1825,-7.9013,2023-08-11,2243,not fire,0.7525,0.3292
41.2548,-8.1402,2023-08-01,1358,not fire,0.6976,0.5016
41.0097,-7.826,2023-02-19,2201,not fire,0.5503,0.2568
37.3874,-8.6471,2023-08-27,2259,not fire,-0.3,-0.3
39.7938,-7.7638,2023-08-14,2236,not fire,-0.3,-0.3
41.9159,-7.1392,2023-02-19,1345,fire,0.5775,0.2558
39.8058,-7.7655,2023-08-24,2236,not fire,-0.3,-0.3
39.7601,-7.7782,2023-08-15,1303,not fire,-0.3,-0.3
39.768,-7.8082,2023-08-25,158,not fire,-0.3,-0.3
41.121,-8.3313,2023-02-16,2155,fire,0.4164,0.2204
39.7631,-7.7625,2023-08-15,158,not fire,-0.3,-0.3
38.8534,-9.2209,2023-08-26,306,not fire,-0.3,-0.3
39.7427,-7.7687,2023-08-15,1035,not fire,-0.3,-0.3
39.7651,-7.8131,2023-08-15,158,not fire,-0.3,-0.3
41.69,-8.0291,2023-02-14,1106,fire,0.4026,0.1647
41.8028,-7.6892,2023-02-19,1115,fire,0.6456,0.4631
37.379,-8.6853,2023-08-17,2259,not fire,-0.3,-0.3
37.4328,-8.6895,2023-08-27,1425,not fire,-0.3,-0.3
37.434,-8.7367,2023-08-15,2138,not fire,-0.3,-0.3
37.4024,-8.7,2023-08-26,2219,not fire,-0.3,-0.3
41.7812,-8.3617,2023-08-08,2235,not fire,0.8006,0.3677
39.7543,-7.8194,2023-08-25,1441,not fire,-0.3,-0.3
40.5197,-7.8464,2023-08-13,1409,not fire,0.5419,0.3527
39.7449,-7.8485,2023-08-15,336,not fire,-0.3,-0.3
39.7416,-7.8449,2023-08-15,336,not fire,-0.3,-0.3
37.3934,-8.7079,2023-08-28,226,not fire,-0.3,-0.3
37.4029,-8.7619,2023-08-27,1425,not fire,-0.3,-0.3
40.524,-7.8401,2023-08-13,1409,not fire,0.5236,0.3608
37.3867,-8.7388,2023-08-27,2122,not fire,-0.3,-0.3
39.7489,-7.7587,2023-08-15,158,not fire,-0.3,-0.3
39.7201,-8.7467,2023-08-27,1426,not fire,-0.3,-0.3
37.434,-8.7367,2023-08-25,2138,not fire,-0.3,-0.3
41.2021,-7.8838,2023-08-02,222,not fire,0.6842,0.3205
39.7642,-7.7449,2023-08-25,1035,not fire,-0.3,-0.3
42.0309,-8.1159,2023-02-05,2234,fire,0.6378,0.237
40.1118,-7.4059,2023-08-25,1106,fire,0.4159,0.2271
37.4474,-8.7093,2023-08-26,2219,not fire,-0.3,-0.3
40.8502,-7.31,2023-08-15,1354,not fire,0.5962,0.3209
41.1636,-7.9193,2023-08-31,1423,not fire,0.69,0.3191
40.9948,-8.0812,2023-02-12,1122,fire,0.5889,0.3278
39.7617,-7.7952,2023-08-15,336,not fire,-0.3,-0.3
37.4422,-8.7095,2023-08-16,1344,not fire,-0.3,-0.3
41.6836,-8.3422,2023-02-17,1359,fire,0.6894,0.2655
39.7197,-8.6896,2023-08-26,1410,not fire,-0.3,-0.3
37.4173,-8.6561,2023-08-16,2219,not fire,-0.3,-0.3
37.3932,-8.7408,2023-08-27,1425,not fire,-0.3,-0.3
40.2101,-7.8194,2023-02-06,1316,not fire,0.6197,0.3668
40.5344,-7.813,2023-08-23,2226,fire,0.6571,0.4218
39.789,-7.7561,2023-08-14,2236,not fire,-0.3,-0.3
39.7311,-7.7707,2023-08-25,1035,not fire,-0.3,-0.3
39.7585,-7.7468,2023-08-25,2139,not fire,-0.3,-0.3
37.4603,-8.7368,2023-08-27,1425,not fire,-0.3,-0.3
40.532,-7.79,2023-08-13,2226,not fire,0.569,0.3729
37.4047,-8.7425,2023-08-17,1425,not fire,-0.3,-0.3
41.7812,-8.3617,2023-08-18,2235,not fire,0.7425,0.3739
41.6534,-7.7892,2023-02-24,2153,not fire,0.6144,0.162
37.4323,-8.7064,2023-08-26,1344,not fire,-0.3,-0.3
37.4161,-8.7439,2023-08-17,1425,not fire,-0.3,-0.3
41.6508,-6.5794,2023-08-10,1316,fire,0.5072,0.3168
41.6516,-6.5686,2023-08-20,2147,not fire,0.5337,0.2829
37.4698,-8.6704,2023-08-18,226,not fire,-0.3,-0.3
37.4178,-8.7254,2023-08-17,1425,not fire,-0.3,-0.3
41.2912,-7.3427,2023-08-01,2243,not fire,0.5277,0.2684
37.4323,-8.6828,2023-08-26,2219,not fire,-0.3,-0.3
41.2912,-7.3427,2023-08-11,2243,not fire,0.5277,0.2684
40.9663,-7.9788,2023-02-23,1354,not fire,0.6495,0.3109
42.1007,-8.2176,2023-02-19,2202,not fire,0.5944,0.2716
37.3848,-8.7306,2023-08-17,2122,not fire,-0.3,-0.3
41.2548,-8.1402,2023-08-21,1358,not fire,0.6783,0.3806
37.3856,-8.6905,2023-08-17,2259,not fire,-0.3,-0.3
39.7642,-7.7449,2023-08-15,1035,not fire,-0.3,-0.3
37.4459,-8.7208,2023-08-26,2219,not fire,-0.3,-0.3
37.4345,-8.6707,2023-08-27,1425,not fire,-0.3,-0.3
37.3855,-8.7494,2023-08-18,226,not fire,-0.3,-0.3
41.7129,-8.466,2023-08-18,225,not fire,0.805,0.4628
39.8058,-7.7655,2023-08-14,2236,not fire,-0.3,-0.3
41.8766,-7.139,2023-02-27,1359,not fire,0.6137,0.2245
37.4387,-8.7159,2023-08-27,1019,not fire,-0.3,-0.3
41.7324,-8.35,2023-02-05,235,fire,0.655,0.3372
39.726,-8.5281,2023-08-13,2226,not fire,-0.3,-0.3
37.4504,-8.7489,2023-08-27,1425,not fire,-0.3,-0.3
40.532,-7.79,2023-08-03,2226,not fire,0.5724,0.3865
39.7601,-7.7782,2023-08-25,1303,not fire,-0.3,-0.3
37.3783,-8.7478,2023-08-28,1329,not fire,-0.3,-0.3
40.5021,-7.8278,2023-08-13,1409,not fire,0.6902,0.297
37.4129,-8.6905,2023-08-26,2219,not fire,-0.3,-0.3
40.1137,-7.4179,2023-08-15,1106,not fire,0.4251,0.254
37.401,-8.7115,2023-08-16,2219,not fire,-0.3,-0.3
41.6742,-8.3403,2023-02-17,1359,fire,0.6852,0.3268
37.4654,-8.713,2023-08-17,1425,not fire,-0.3,-0.3
41.2971,-6.7647,2023-08-04,1313,not fire,0.3081,0.1631
39.7254,-7.7991,2023-08-25,1035,not fire,-0.3,-0.3
41.3131,-7.3064,2023-08-04,2114,not fire,0.6594,0.3432
41.6534,-7.7892,2023-02-04,2153,fire,0.6488,0.2282
37.4413,-8.6846,2023-08-16,2219,not fire,-0.3,-0.3
37.3838,-8.7331,2023-08-17,2259,not fire,-0.3,-0.3
39.7197,-8.6896,2023-08-16,1410,fire,-0.3,-0.3
39.7399,-7.733,2023-08-16,240,not fire,-0.3,-0.3
40.8401,-7.3141,2023-08-25,1354,fire,0.4522,0.1961
41.2532,-8.1519,2023-08-11,1358,fire,0.7481,0.4612
41.7675,-7.9042,2023-02-19,1345,fire,0.4196,0.1088
37.4233,-8.6811,2023-08-26,2219,not fire,-0.3,-0.3
41.8028,-7.6892,2023-02-09,1115,not fire,0.7044,0.4884
39.7219,-8.7259,2023-08-27,1426,not fire,-0.3,-0.3
