latitude,longitude,class,date,max_temperature,min_temperature,mean_temperatur,max_humidity,min_humidity,mean_humidity,total_precipitation,max_soil_temperature,min_soil_temperature,mean_soil_temperature,min_soil_moisture,mean_soil_moisture,max_wind_speed,total_rain
40.8753,25.7921,fire,2023-08-22 00:43:00+00:00,37.21699905395508,26.617000579833984,30.90241813659668,39.357601165771484,17.723669052124023,30.505224227905273,0.0,35.26700210571289,26.867000579833984,30.55034065246582,0.13899999856948853,0.1419583559036255,27.887802124023438,0.0
41.0431,26.0011,not fire,2023-08-02 09:02:00+00:00,28.542499542236328,18.292499542236328,23.4758358001709,88.97071075439453,43.260833740234375,64.74127960205078,1.0,32.292503356933594,20.892499923706055,26.186250686645508,0.1340000033378601,0.13604167103767395,14.336860656738281,1.0
36.1087,27.9427,fire,2023-07-24 00:08:00+00:00,42.44099807739258,29.14099884033203,34.430580139160156,44.08023452758789,12.869795799255371,30.432992935180664,0.0,43.24100112915039,30.89099884033203,36.230587005615234,0.10599999874830246,0.10599996894598007,20.873790740966797,0.0
40.8936,25.7387,not fire,2023-08-02 11:48:00+00:00,26.299501419067383,19.999500274658203,23.5328369140625,81.27193450927734,54.13359451293945,68.43041229248047,0.8999999761581421,29.199501037597656,21.699501037597656,25.234914779663086,0.23999999463558197,0.2407499998807907,10.383987426757812,0.8999999761581421
36.2543,27.9132,not fire,2023-07-30 00:37:00+00:00,33.522499084472656,21.92249870300293,26.22041130065918,77.58436584472656,20.738950729370117,54.043487548828125,0.0,38.8224983215332,25.272499084472656,30.801664352416992,0.10400000214576721,0.10400000214576721,21.578989028930664,0.0
40.8845,26.0477,fire,2023-08-19 19:43:00+00:00,35.07350158691406,24.37350082397461,29.0068302154541,61.40798568725586,31.238040924072266,46.39169692993164,0.0,35.2234992980957,26.62350082397461,30.390167236328125,0.12999999523162842,0.13212500512599945,36.27614212036133,0.0
37.0961,25.5033,fire,2023-07-15 00:24:00+00:00,32.1870002746582,24.53700065612793,27.67658233642578,50.87484359741211,32.88157272338867,41.79263687133789,0.0,34.38699722290039,24.637001037597656,28.820335388183594,0.13099999725818634,0.13504166901111603,19.592731475830078,0.0
36.0252,27.8657,not fire,2023-08-14 20:40:00+00:00,29.774999618530273,21.774999618530273,24.993751525878906,90.91581726074219,43.59755325317383,70.86289978027344,0.0,34.67500305175781,24.125,28.57917022705078,0.10199999809265137,0.1042499840259552,20.898611068725586,0.0
38.4728,26.0022,not fire,2023-08-20 00:06:00+00:00,30.619998931884766,22.020000457763672,26.422080993652344,81.8228759765625,46.9782829284668,63.53168869018555,0.0,34.56999969482422,23.119998931884766,28.28874969482422,0.12999999523162842,0.13183331489562988,8.66994857788086,0.0
37.096,25.5271,not fire,2023-07-04 19:44:00+00:00,24.55500030517578,17.854999542236328,21.03208351135254,94.79420471191406,58.14942932128906,76.12018585205078,0.0,29.404998779296875,19.80500030517578,24.038330078125,0.13899999856948853,0.14295832812786102,17.533145904541016,0.0
40.9083,25.8666,not fire,2023-08-31 19:26:00+00:00,27.423500061035156,19.523500442504883,23.73808479309082,91.91407012939453,54.268585205078125,73.69393157958984,0.0,31.273500442504883,21.273500442504883,25.898500442504883,0.12600000202655792,0.12645836174488068,12.55879020690918,0.0
38.165,23.5195,not fire,2023-07-28 11:54:00+00:00,32.740997314453125,21.94099998474121,27.759750366210938,48.11153030395508,22.931482315063477,35.169857025146484,0.0,36.240997314453125,26.19099998474121,30.974334716796875,0.14000000059604645,0.14000003039836884,18.720001220703125,0.0
40.9843,25.9582,not fire,2023-08-01 19:26:00+00:00,29.85650062561035,19.756500244140625,24.564834594726562,81.02056884765625,37.25577163696289,58.94207763671875,0.30000001192092896,31.706501007080078,22.10650062561035,26.725255966186523,0.11800000071525574,0.12524999678134918,23.188583374023438,0.30000001192092896
37.9361,24.8206,fire,2023-08-27 00:56:00+00:00,26.937999725341797,24.387998580932617,25.90883445739746,75.7872085571289,64.14379119873047,69.00919342041016,1.5000001192092896,31.83799934387207,26.08799934387207,28.34217071533203,0.0949999988079071,0.09874998778104782,37.64195251464844,1.5000001192092896
36.2397,27.945,not fire,2023-07-09 08:50:00+00:00,32.452999114990234,25.152999877929688,28.34467124938965,65.89803314208984,38.8562126159668,51.81202697753906,0.0,36.75299835205078,27.253000259399414,31.490503311157227,0.10499999672174454,0.10500001162290573,26.874910354614258,0.0
